timespan,make_width,take_width,kelp_profit,resin_profit,total_profit
5,3.0,1.5,733,2744,3477
10,5.0,2.5,682,2011,2693
20,3.5,4.0,510,1958,2468
20,2.0,4.0,510,1958,2468
10,3.0,0.5,677,3363,4040
20,5.0,2.5,677,3363,4040
20,5.0,1.5,513,3294,3807
10,2.0,2.0,682,2393,3075
10,4.0,2.0,682,2393,3075
20,4.0,4.0,682,2393,3075
15,2.0,0.5,589,3398,3987
20,4.0,1.0,508,3398,3906
10,4.0,0.5,677,3363,4040
15,2.0,3.5,677,3363,4040
10,3.0,1.0,676,3345,4021
15,4.0,0.5,589,3398,3987
15,3.5,2.0,598,2370,2968
10,4.0,3.5,598,2370,2968
5,3.0,4.0,733,2064,2797
20,2.0,2.5,510,1994,2504
10,3.5,4.0,682,1969,2651
5,3.5,1.5,733,2744,3477
5,4.0,2.5,733,2128,2861
15,5.0,3.0,598,1964,2562
10,4.0,5.0,682,1969,2651
5,3.0,3.0,733,2080,2813
15,4.0,1.0,591,3386,3977
20,3.5,5.0,591,3386,3977
15,4.0,3.0,598,1964,2562
10,3.5,3.0,682,1983,2665
20,5.0,3.5,510,1958,2468
5,3.5,1.0,733,3114,3847
15,3.0,0.5,589,3398,3987
15,3.5,4.0,598,1958,2556
15,3.5,5.0,598,1958,2556
15,3.0,5.0,598,1958,2556
5,3.0,1.0,733,3114,3847
20,2.0,5.0,510,1958,2468
20,5.0,4.0,510,1958,2468
10,3.5,2.5,510,1958,2468
10,4.0,4.5,682,1969,2651
15,3.0,1.5,602,3198,3800
15,5.0,1.0,591,3386,3977
10,3.0,2.5,682,2011,2693
5,3.0,3.5,733,2068,2801
20,4.0,3.5,510,1958,2468
5,3.5,0.5,726,3190,3916
15,2.0,5.0,598,1958,2556
5,5.0,1.5,733,2744,3477
20,2.0,3.0,510,1960,2470
15,4.0,2.0,598,2370,2968
5,5.0,1.0,733,3114,3847
20,3.5,0.5,512,3400,3912
15,3.5,1.0,591,3386,3977
15,2.0,4.5,598,1958,2556
5,5.0,0.5,726,3190,3916
15,3.0,3.0,598,1964,2562
5,3.5,4.0,733,2064,2797
5,2.0,3.5,733,2068,2801
20,4.0,3.0,510,1960,2470
10,3.5,4.5,510,1960,2470
15,5.0,0.5,589,3398,3987
15,3.5,4.5,598,1958,2556
10,5.0,5.0,682,1969,2651
5,2.0,5.0,733,2062,2795
10,3.5,1.5,682,3055,3737
5,2.0,2.0,733,2374,3107
15,5.0,5.0,598,1958,2556
20,3.5,3.0,598,1958,2556
20,3.0,1.0,508,3398,3906
15,3.0,3.5,598,1962,2560
5,3.0,2.0,733,2374,3107
10,2.0,5.0,682,1969,2651
5,5.0,3.5,733,2068,2801
5,3.5,3.5,733,2068,2801
10,5.0,3.5,682,1971,2653
10,2.0,3.5,682,1971,2653
15,3.0,4.0,598,1958,2556
15,2.0,2.5,598,1988,2586
10,3.0,3.5,682,1971,2653
15,5.0,2.0,682,1971,2653
20,3.0,1.5,513,3294,3807
20,2.0,0.5,512,3400,3912
10,5.0,2.0,682,2393,3075
5,3.0,5.0,733,2062,2795
5,4.0,0.5,733,2062,2795
10,3.0,2.0,682,2393,3075
15,5.0,3.5,598,1962,2560
10,2.0,4.0,682,1969,2651
5,5.0,2.0,733,2374,3107
5,2.0,4.5,733,2062,2795
20,4.0,2.5,510,1994,2504
20,3.0,5.0,510,1994,2504
10,3.0,1.5,682,3055,3737
10,4.0,3.0,682,1983,2665
10,3.5,5.0,682,1969,2651
10,4.0,1.5,682,1969,2651
10,4.0,4.0,682,1969,2651
10,2.0,0.5,677,3363,4040
15,3.5,0.5,589,3398,3987
5,2.0,2.5,733,2128,2861
15,2.0,3.0,598,1964,2562
15,3.0,2.5,598,1988,2586
20,3.5,2.0,510,2368,2878
15,3.0,4.5,598,1958,2556
5,3.0,4.5,733,2062,2795
15,2.0,1.5,602,3198,3800
15,4.0,3.5,598,1962,2560
10,5.0,4.0,682,1969,2651
15,5.0,2.5,682,1969,2651
15,2.0,2.0,598,2370,2968
5,4.0,3.0,733,2080,2813
10,3.5,3.5,682,1971,2653
20,3.0,4.0,510,1958,2468
20,2.0,1.0,508,3398,3906
5,4.0,1.5,733,2744,3477
5,3.0,0.5,726,3190,3916
20,5.0,3.0,510,1960,2470
10,2.0,1.0,676,3345,4021
10,4.0,1.0,676,3345,4021
20,3.5,3.5,510,1958,2468
10,3.5,1.0,510,1958,2468
10,2.0,1.5,682,3055,3737
5,4.0,4.5,733,2062,2795
15,3.5,2.5,598,1988,2586
5,4.0,4.0,733,2064,2797
15,3.5,3.5,598,1962,2560
20,5.0,1.0,508,3398,3906
5,3.5,3.0,733,2080,2813
20,5.0,5.0,510,1958,2468
20,2.0,1.5,513,3294,3807
20,2.0,2.0,510,2368,2878
5,5.0,5.0,733,2062,2795
15,4.0,1.5,602,3198,3800
15,4.0,5.0,602,3198,3800
20,4.0,4.5,510,1958,2468
10,3.0,5.0,682,1969,2651
5,3.5,5.0,733,2062,2795
10,3.5,2.0,682,2393,3075
20,3.0,3.5,510,1958,2468
15,3.0,2.0,598,2370,2968
20,3.0,2.0,510,2368,2878
20,3.0,3.0,510,2368,2878
10,3.0,3.0,682,1983,2665
5,5.0,3.0,733,2080,2813
10,5.0,1.0,676,3345,4021
20,3.0,0.5,676,3345,4021
15,5.0,1.5,602,3198,3800
15,3.5,3.0,598,1964,2562
5,3.0,2.5,733,2128,2861
10,5.0,4.5,682,1969,2651
15,3.5,1.5,602,3198,3800
5,2.0,1.0,733,3114,3847
5,5.0,4.5,733,3114,3847
20,3.5,1.5,513,3294,3807
5,2.0,4.0,733,2064,2797
5,2.0,3.0,733,2064,2797
15,4.0,2.5,598,1988,2586
10,2.0,4.5,682,1969,2651
10,4.0,2.5,682,2011,2693
15,5.0,4.0,682,2011,2693
15,4.0,4.5,598,1958,2556
20,4.0,5.0,510,1958,2468
10,3.0,4.0,682,1969,2651
5,2.0,0.5,726,3190,3916
15,2.0,4.0,598,1958,2556
20,3.5,4.5,510,1958,2468
20,4.0,0.5,512,3400,3912
10,5.0,3.0,682,1983,2665
5,3.5,4.5,733,2062,2795
20,5.0,4.5,510,1958,2468
5,3.5,2.5,733,2128,2861
10,5.0,0.5,677,3363,4040
20,2.0,3.5,510,1958,2468
10,5.0,1.5,682,3055,3737
10,3.5,0.5,677,3363,4040
5,3.5,2.0,733,2374,3107
15,5.0,4.5,598,1958,2556
20,5.0,0.5,512,3400,3912
20,4.0,1.5,513,3294,3807
5,4.0,2.0,733,2374,3107
15,3.0,1.0,591,3386,3977
20,3.5,2.5,510,1994,2504
10,3.0,4.5,682,1969,2651
10,2.0,3.0,682,1983,2665
15,4.0,4.0,682,1983,2665
20,4.0,2.0,510,2368,2878
5,4.0,1.0,733,3114,3847
20,3.0,4.5,510,1958,2468
20,5.0,2.0,510,1958,2468
5,2.0,1.5,733,2744,3477
5,5.0,2.5,733,2128,2861
5,4.0,3.5,733,2068,2801
20,3.5,1.0,508,3398,3906
5,4.0,5.0,733,2062,2795
20,2.0,4.5,510,1958,2468
20,3.0,2.5,510,1994,2504
15,2.0,1.0,510,1994,2504
10,2.0,2.5,682,2011,2693
5,5.0,4.0,733,2064,2797
